date,equity,predicted_1m_return,actual_forward_1m_return,score_QQQ,score_GLD,score_SGOV,pred_QQQ,pred_GLD,pred_SGOV,actual_fwd_QQQ,actual_fwd_GLD,actual_fwd_SGOV,w_QQQ,w_GLD,w_SGOV,drawdown,dca_equity,dca_drawdown
2021-06-01,10000.0,0.01585791,0.06535064,0.658579,0.388339,0.53985,0.01585791,-0.01116614,0.00398501,0.06535064,-0.06576727,-3.997e-05,1.0,0.0,0.0,0.0,10000.0,0.0
2021-06-02,10019.53,0.01585791,0.06535064,0.658579,0.388339,0.53985,0.01585791,-0.01116614,0.00398501,0.06535064,-0.06576727,-3.997e-05,1.0,0.0,0.0,0.0,10019.53,0.0
2021-06-03,9915.27,0.01585791,0.06535064,0.658579,0.388339,0.53985,0.01585791,-0.01116614,0.00398501,0.06535064,-0.06576727,-3.997e-05,1.0,0.0,0.0,0.010406,9915.27,0.010406
2021-06-04,10083.53,0.01585791,0.06535064,0.658579,0.388339,0.53985,0.01585791,-0.01116614,0.00398501,0.06535064,-0.06576727,-3.997e-05,1.0,0.0,0.0,0.0,10083.53,0.0
2021-06-07,10113.57,0.01585791,0.06535064,0.658579,0.388339,0.53985,0.01585791,-0.01116614,0.00398501,0.06535064,-0.06576727,-3.997e-05,1.0,0.0,0.0,0.0,10113.57,0.0
2021-06-08,10118.38,0.01585791,0.06535064,0.658579,0.388339,0.53985,0.01585791,-0.01116614,0.00398501,0.06535064,-0.06576727,-3.997e-05,1.0,0.0,0.0,0.0,10118.38,0.0
2021-06-09,10120.79,0.01585791,0.06535064,0.658579,0.388339,0.53985,0.01585791,-0.01116614,0.00398501,0.06535064,-0.06576727,-3.997e-05,1.0,0.0,0.0,0.0,10120.79,0.0
2021-06-10,10226.25,0.01585791,0.06535064,0.658579,0.388339,0.53985,0.01585791,-0.01116614,0.00398501,0.06535064,-0.06576727,-3.997e-05,1.0,0.0,0.0,0.0,10226.25,0.0
2021-06-11,10252.99,0.01585791,0.06535064,0.658579,0.388339,0.53985,0.01585791,-0.01116614,0.00398501,0.06535064,-0.06576727,-3.997e-05,1.0,0.0,0.0,0.0,10252.99,0.0
2021-06-14,10351.24,0.01585791,0.06535064,0.658579,0.388339,0.53985,0.01585791,-0.01116614,0.00398501,0.06535064,-0.06576727,-3.997e-05,1.0,0.0,0.0,0.0,10351.24,0.0
