date,oracle_equity,oracle_drawdown,worst_case_equity,worst_case_drawdown
2021-06-01,10000.0,0.0,10000.0,0.0
2021-06-02,10019.53,0.0,10048.9,0.0
2021-06-03,9915.27,0.010406,9852.16,0.019578
2021-06-04,10083.53,0.0,9958.4,0.009006
2021-06-07,10113.57,0.0,9998.31,0.005034
2021-06-08,10118.38,0.0,9967.4,0.00811
2021-06-09,10120.79,0.0,9948.29,0.010012
2021-06-10,10226.25,0.0,9991.01,0.005761
2021-06-11,10252.99,0.0,9878.58,0.016949
2021-06-14,10351.24,0.0,9820.69,0.02271
2021-06-15,10283.64,0.006531,9783.59,0.026402
2021-06-16,10246.08,0.010159,9618.33,0.042847
2021-06-17,10376.18,0.0,9322.65,0.072272
2021-06-18,10294.75,0.007848,9270.94,0.077417
2021-06-21,10346.73,0.002838,9384.49,0.066118
2021-06-22,10443.18,0.0,9345.14,0.070034
2021-06-23,10448.29,0.0,9338.95,0.07065
2021-06-24,10512.89,0.0,9333.33,0.071209
2021-06-25,10499.97,0.001229,9364.25,0.068132
2021-06-28,10627.67,0.0,9363.69,0.068188
2021-06-29,10666.13,0.0,9265.32,0.077977
2021-06-30,10649.3,0.001578,9310.29,0.073502
2021-07-01,20653.51,0.0,19342.33,0.0
2021-07-02,20890.58,0.0,19342.33,0.0
2021-07-06,20980.87,0.0,19343.1,0.0
2021-07-07,21025.14,0.0,19342.13,5e-05
2021-07-08,20898.15,0.00604,19342.13,5e-05
2021-07-09,21028.63,0.0,19342.13,5e-05
2021-07-12,21110.76,0.0,19342.13,5e-05
2021-07-13,21110.76,0.0,19343.1,0.0
2021-07-14,21148.63,0.0,19342.13,5e-05
2021-07-15,21000.09,0.007024,19342.13,5e-05
2021-07-16,20830.0,0.015066,19343.1,0.0
2021-07-19,20659.33,0.023136,19343.1,0.0
2021-07-20,20899.32,0.011788,19342.13,5e-05
2021-07-21,21060.67,0.004159,19344.07,0.0
2021-07-22,21199.89,0.0,19343.1,5e-05
2021-07-23,21447.45,0.0,19344.07,0.0
2021-07-26,21464.34,0.0,19342.33,9e-05
2021-07-27,21227.85,0.011018,19343.1,5e-05
2021-07-28,21309.39,0.007219,19344.07,0.0
2021-07-29,21347.26,0.005455,19343.87,1e-05
2021-07-30,21236.0,0.010638,19343.1,5e-05
2021-08-02,31237.75,0.0,29341.17,0.0
2021-08-03,31427.09,0.0,29344.1,0.0
2021-08-04,31472.5,0.0,29345.57,0.0
2021-08-05,31672.13,0.0,29344.1,5e-05
2021-08-06,31533.33,0.004382,29344.1,5e-05
2021-08-09,31591.59,0.002543,29342.63,0.0001
2021-08-10,31429.66,0.007656,29342.63,0.0001
2021-08-11,31375.69,0.00936,29342.63,0.0001
2021-08-12,31488.78,0.005789,29341.17,0.00015
2021-08-13,31599.3,0.002299,29344.1,5e-05
2021-08-16,31613.01,0.001867,29345.57,0.0
2021-08-17,31334.56,0.010658,29339.7,0.0002
2021-08-18,31032.98,0.02018,29344.1,5e-05
2021-08-19,31182.91,0.015446,29342.63,0.0001
2021-08-20,31505.92,0.005248,29345.57,0.0
2021-08-23,31977.14,0.0,29342.63,0.0001
2021-08-24,32074.81,0.0,29344.1,5e-05
2021-08-25,32111.65,0.0,29342.63,0.0001
2021-08-26,31907.74,0.00635,29344.1,5e-05
2021-08-27,32217.89,0.0,29344.1,5e-05
2021-08-30,32579.45,0.0,29344.1,5e-05
2021-08-31,32552.89,0.000815,29344.1,5e-05
2021-09-01,42606.86,0.0,39344.1,0.0
2021-09-02,42605.58,3e-05,39325.49,0.000473
2021-09-03,42606.86,0.0,39446.45,0.0
2021-09-07,42608.99,0.0,39502.27,0.0
2021-09-08,42606.86,5e-05,39364.78,0.003481
2021-09-09,42603.45,0.00013,39229.35,0.006909
2021-09-10,42608.99,0.0,38931.62,0.014446
2021-09-13,42606.86,5e-05,38904.74,0.015126
2021-09-14,42604.73,0.0001,38794.12,0.017927
2021-09-15,42608.99,0.0,39082.55,0.010625
2021-09-16,42608.99,0.0,39109.43,0.009945
2021-09-17,42606.86,5e-05,38646.29,0.021669
2021-09-20,42605.58,8e-05,37805.82,0.042946
2021-09-21,42606.86,5e-05,37852.34,0.041768
2021-09-22,42606.86,5e-05,38205.9,0.032818
2021-09-23,42605.16,9e-05,38558.42,0.023894
2021-09-24,42606.86,5e-05,38594.6,0.022978
2021-09-27,42606.86,5e-05,38286.53,0.030776
2021-09-28,42604.73,0.0001,37203.12,0.058203
2021-09-29,42608.99,0.0,37142.12,0.059747
2021-09-30,42606.86,5e-05,37005.66,0.063202
2021-10-01,52602.6,0.0,47235.16,0.0
2021-10-04,51498.5,0.020989,47238.0,0.0
2021-10-05,52193.68,0.007774,47239.89,0.0
2021-10-06,52528.12,0.001416,47235.16,0.0001
2021-10-07,53010.07,0.0,47235.16,0.0001
2021-10-08,52745.73,0.004987,47240.36,0.0
2021-10-11,52341.18,0.012618,47237.52,6e-05
2021-10-12,52158.63,0.016062,47237.52,6e-05
2021-10-13,52576.31,0.008183,47237.52,6e-05
2021-10-14,53544.59,0.0,47237.52,6e-05
2021-10-15,53881.96,0.0,47237.52,6e-05
2021-10-18,54423.79,0.0,47241.77,0.0
2021-10-19,54835.63,0.0,47237.52,9e-05
2021-10-20,54764.07,0.001305,47237.52,9e-05
2021-10-21,55098.51,0.0,47242.25,0.0
2021-10-22,54635.55,0.008402,47240.36,4e-05
2021-10-25,55194.91,0.0,47232.8,0.0002
2021-10-26,55368.7,0.0,47237.52,0.0001
2021-10-27,55497.22,0.0,47234.22,0.00017
2021-10-28,56113.53,0.0,47235.16,0.00015
2021-10-29,56389.55,0.0,47237.52,0.0001
2021-11-01,66582.34,0.0,57237.52,0.0
2021-11-02,66588.99,0.0,57114.52,0.002149
