date,equity,drawdown,w_AAPL,w_AMZN,w_AVGO,w_GOOGL,w_META,w_MSFT,w_NVDA,w_PLTR,w_QQQ,w_SHY,w_SPY,stop_GOOGL,stop_MSFT,stop_NVDA,tp_GOOGL,tp_MSFT,tp_NVDA,stop_AVGO,tp_AVGO,stop_AAPL,tp_AAPL,stop_SHY,tp_SHY,stop_META,tp_META,stop_AMZN,tp_AMZN,stop_PLTR,tp_PLTR
2021-09-30,50000.0,0.0,0.0,0.0,0.0,0.3747,0.0,0.3825,0.2429,0.0,0.0,0.0,0.0,115.1989,237.9946,16.5425,169.1811,346.8988,27.9154,,,,,,,,,,,,
2021-10-01,50896.38,0.0,0.0,0.0,0.0,0.3747,0.0,0.3825,0.2429,0.0,0.0,0.0,0.0,116.144,239.1375,16.5633,172.1673,356.4734,27.9154,,,,,,,,,,,,
2021-10-04,49501.96,0.027397,0.0,0.0,0.0,0.3747,0.0,0.3825,0.2429,0.0,0.0,0.0,0.0,115.3088,237.265,16.5633,173.8026,360.1254,27.9154,,,,,,,,,,,,
2021-10-05,50631.92,0.005196,0.0,0.0,0.0,0.3747,0.0,0.3825,0.2429,0.0,0.0,0.0,0.0,114.2555,234.5412,16.5633,175.8649,365.438,27.9154,,,,,,,,,,,,
2021-10-06,51284.02,0.0,0.0,0.0,0.0,0.3747,0.0,0.3825,0.2429,0.0,0.0,0.0,0.0,114.6158,236.3736,16.5633,176.8279,368.1801,27.9154,,,,,,,,,,,,
2021-10-07,51852.04,0.0,0.0,0.0,0.0,0.3747,0.0,0.3825,0.2429,0.0,0.0,0.0,0.0,115.5011,237.9844,16.8293,177.7838,367.7801,27.9154,,,,,,,,,,,,
2021-10-08,51787.3,0.001248,0.0,0.0,0.0,0.3747,0.0,0.3825,0.2429,0.0,0.0,0.0,0.0,116.7327,238.1181,16.8293,176.3185,367.5244,27.9154,,,,,,,,,,,,
2021-10-11,51544.11,0.005938,0.0,0.0,0.0,0.3747,0.0,0.3825,0.2429,0.0,0.0,0.0,0.0,116.9784,238.2073,16.8293,175.8486,367.3539,27.9154,,,,,,,,,,,,
2021-10-12,51096.42,0.014573,0.0,0.0,0.0,0.3747,0.0,0.3825,0.2429,0.0,0.0,0.0,0.0,116.3052,238.6706,16.8293,177.1361,366.4679,27.9154,,,,,,,,,,,,
2021-10-13,51641.33,0.004064,0.0,0.0,0.0,0.3747,0.0,0.3825,0.2429,0.0,0.0,0.0,0.0,116.6446,240.7016,16.8293,176.4868,364.856,27.9154,,,,,,,,,,,,
